procedure_key,ccsr_procedure_code,ccsr_procedure_description
102,FRS001,HYSTERECTOMY
103,FRS002,OOPHORECTOMY
104,FRS003,SALPINGECTOMY
105,FRS004,TRACHELECTOMY
106,FRS005,FALLOPIAN TUBE LIGATION AND EXCISION
107,FRS006,VULVAR LACERATION REPAIR
108,FRS007,FEMALE GENITAL TRACT REPAIR (EXCLUDING VULVA)
109,FRS008,CERVICAL DILATION
110,FRS009,CERVICAL CERCLAGE
111,FRS010,FEMALE UPPER GENITAL TRACT EXCISION
112,FRS011,FEMALE LOWER GENITAL TRACT EXCISION
113,FRS015,"FEMALE REPRODUCTIVE SYSTEM PROCEDURES, NEC"
114,GIS001,ESOPHAGOGASTRODUODENOSCOPY (EGD) WITH BIOPSY
115,GIS002,COLONOSCOPY AND PROCTOSCOPY WITH BIOPSY
116,GIS003,GI SYSTEM BIOPSY (NON-ENDOSCOPIC)
117,GIS004,GI SYSTEM ENDOSCOPY WITHOUT BIOPSY (DIAGNOSTIC)
118,GIS005,EXPLORATION OF PERITONEAL CAVITY
119,GIS006,PARACENTESIS
120,GIS007,GI SYSTEM DRAINAGE (EXCLUDING PARACENTESIS)
121,GIS008,APPENDECTOMY
122,GIS009,COLECTOMY
123,GIS010,GASTRECTOMY
124,GIS011,SMALL BOWEL RESECTION
125,GIS012,DUODENAL RESECTION
126,GIS013,PROCTECTOMY OR ANAL RESECTION
127,GIS014,ESOPHAGECTOMY
128,GIS015,OMENTECTOMY OR PERITONEUM RESECTION
129,GIS016,GI SYSTEM ENDOSCOPIC THERAPEUTIC PROCEDURES
130,GIS017,GASTROSTOMY
131,GIS018,ILEOSTOMY AND COLOSTOMY
132,GIS019,GASTRO-JEJUNAL BYPASS (INCLUDING BARIATRIC)
133,GIS020,ANORECTAL REPAIR (3RD AND 4TH DEGREE OBSTETRICAL REPAIRS AND OTHER)
134,GIS021,GI SYSTEM REPAIR (EXCLUDING ANORECTAL)
135,GIS022,GI SYSTEM LYSIS OF ADHESIONS
136,GIS024,OTHER PERITONEAL CAVITY PROCEDURES
137,GIS025,OTHER GI SYSTEM DEVICE PROCEDURES
138,GIS026,"UPPER GI THERAPEUTIC PROCEDURES, NEC (OPEN AND LAPAROSCOPIC)"
139,GIS027,"UPPER GI THERAPEUTIC PROCEDURES, NEC (ENDOSCOPIC)"
140,GIS028,"LOWER GI THERAPEUTIC PROCEDURES, NEC (OPEN AND LAPAROSCOPIC)"
141,GIS029,"LOWER GI THERAPEUTIC PROCEDURES, NEC (EXCLUDING OPEN AND LAPAROSCOPIC)"
142,GNR001,COSMETIC PROCEDURES
143,GNR002,ABDOMINAL WALL REPAIR (INCLUDING HERNIA)
144,GNR003,INGUINAL AND FEMORAL HERNIA REPAIR
145,GNR004,ENDOSCOPIC CONTROL OF BLEEDING
146,GNR005,CONTROL OF BLEEDING (NON-ENDOSCOPIC)
147,GNR006,"CHEST WALL PROCEDURES, NEC"
148,GNR007,"MEDIASTINAL PROCEDURES, NEC"
149,GNR008,"ABDOMINAL WALL PROCEDURES, NEC"
150,GNR009,"RETROPERITONEAL PROCEDURES, NEC"
151,HEP001,LIVER BIOPSY
152,HEP002,PANCREATICOBILIARY BIOPSY
153,HEP003,DIAGNOSTIC ERCP WITH OR WITHOUT BIOPSY
154,HEP004,HEPATOBILIARY RESECTION AND ABLATION
155,HEP005,PANCREATECTOMY
156,HEP006,CHOLECYSTECTOMY
157,HEP007,BILIARY AND PANCREATIC CALCULUS REMOVAL
158,HEP008,COMMON BILE DUCT SPHINCTEROTOMY AND STENTING
159,HEP009,PANCREATIC AND PROXIMAL BILIARY DILATION AND STENTING
160,HEP010,HEPATOBILIARY AND PANCREATIC DRAINAGE
161,HEP013,"HEPATOBILIARY AND PANCREATIC PROCEDURES, NEC"
162,IMG001,CARDIAC AND CORONARY FLUOROSCOPY
163,IMG002,FLUOROSCOPIC ANGIOGRAPHY (EXCLUDING CORONARY)
164,IMG003,FLUOROSCOPIC GUIDANCE FOR CIRCULATORY SYSTEM PROCEDURES
165,IMG004,FLUOROSCOPY OF NON-CIRCULATORY ORGANS
166,IMG005,MAGNETIC RESONANCE IMAGING (MRI)
167,IMG006,COMPUTERIZED TOMOGRAPHY (CT) WITH CONTRAST
168,IMG007,COMPUTERIZED TOMOGRAPHY (CT) WITHOUT CONTRAST
169,IMG008,ULTRASONOGRAPHY
170,IMG009,PLAIN RADIOGRAPHY
171,IMG010,FLUORESCENCE IMAGING
172,LYM001,LYMPH NODE BIOPSY
173,LYM002,LYMPH NODE EXCISION (THERAPEUTIC)
174,LYM003,LYMPH NODE DISSECTION
175,LYM004,THYMECTOMY
176,LYM005,SPLENECTOMY
177,LYM006,SPLEEN PROCEDURES (EXCLUDING SPLENECTOMY)
178,LYM007,BONE MARROW BIOPSY
179,LYM008,BONE MARROW ASPIRATION (THERAPEUTIC)
180,LYM011,"LYMPHATIC PROCEDURES, NEC"
181,MAM001,ARTERIAL OXYGEN SATURATION MONITORING
182,MAM002,PERIPHERAL ARTERIAL PRESSURE MONITORING
