variable,in_item_universe,exclusion_reason,applicable_rule,notes
CervCaTest_Privacy,True,,universal,Outcome code found: Missing data (Filter Missing)...
CervCaTest_TranspCost,True,,universal,Outcome code found: Missing data (Filter Missing)...
CervCaTest_Work,True,,universal,Outcome code found: Missing data (Filter Missing)...
ChanceAskQuestions,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ChildrenInHH,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Chinese,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClimateChgHarmHealth,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ClinTrials2_Cat,False,derived_variable,,collapsed or recoded from source items
ClinTrials2_Cnt,True,,conditional_on:mode_web,Outcome code found: No options selected in H2 (Missing data or Web partial - Que...
ClinTrials2_DocEncouraged,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_FamEncouraged,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_GetBetter,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_HelpingPeople,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_NotDisruptive,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_NotWilling,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ClinTrials2_ReceiveComp,True,,universal,Outcome code found: Missing data (Not Ascertained)...
CommitmentStmt,False,experiment_flag,,
ConfidentMedForms,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ConfidentTestAccurate,True,,universal,Outcome code found: Missing data (Filter Missing)...
Cuban,True,,universal,Outcome code found: Missing data (Not Ascertained)...
CutSkipMeals2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DRA,False,no_outcome_codes,,
DiffPayMedBills,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DigLit_Frustrating,True,,universal,Outcome code found: Multiple responses selected in error...
DigLit_SearchSkills,True,,universal,Outcome code found: Multiple responses selected in error...
DigLit_UseNoHelp,True,,universal,Outcome code found: Multiple responses selected in error...
DiscriminatedMedCare2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
DocInteraction,True,,universal,Outcome code found: Missing data (Not Ascertained)...
DocOpenToInfo,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DocRespectedInfo,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DocTalkLDCT,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DocTellColorectalTests2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DrinkDaysPerMonth,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
DrinksOneOccasion,True,,universal,Outcome code found: Missing data (Filter Missing)...
DrinksPerDay2,True,,universal,Outcome code found: Missing data (Filter Missing)...
ECigUse,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EducA,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
EducB,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Education,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Electronic2_HealthInfo,True,,universal,Outcome code found: Question answered in error (Commission Error)...
Electronic2_MadeAppts,True,,universal,Outcome code found: Question answered in error (Commission Error)...
Electronic2_MessageDoc,True,,universal,Outcome code found: Question answered in error (Commission Error)...
Electronic2_TestResults,True,,universal,Outcome code found: Question answered in error (Commission Error)...
EthnicGroupBelonging,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
EverHadCancer,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_Cat,False,derived_variable,,collapsed or recoded from source items
EverUsed_Cigars,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_ECig,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_HeatTob,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_Hookah,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_ModRisk,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_NicPouch,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_None,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverUsed_Smokeless,True,,universal,Outcome code found: Missing data (Not Ascertained)...
EverythingCauseCancer,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ExcessiveAlcohol2_BanAds,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ExcessiveAlcohol2_ReqWarn,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ExpClinTrial,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ExplainedClearly,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ExtremeWeatherEvents,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FamilyEverHadCancer2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FeelIsolated,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FeelLeftOut,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FeelPeopleBarelyKnow,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FeelPeopleNotWithMe,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FeelingsAddressed,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Filipino,True,,universal,Outcome code found: Missing data (Not Ascertained)...
FinIssues_HCPDocumenting,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FinIssues_HCPSharing,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FollowMyPlate,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FormType,False,no_outcome_codes,,
FreqGoProvider,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FreqUseInternet,True,,universal,Outcome code found: Missing data (Not Ascertained)...
FreqWearDevTrackHealth2,True,,universal,Outcome code found: Missing data (Filter Missing)...
Fruit2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
FullTimeOcc2_Cat,False,derived_variable,,collapsed or recoded from source items
GeneralHealth,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HADTE0,False,no_outcome_codes,,
HADTE1,False,no_outcome_codes,,
HADTE2,False,no_outcome_codes,,
HADTE3,False,no_outcome_codes,,
HADTE4,False,no_outcome_codes,,
HBVCauseCancer,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HCPEncourageOnlineRec2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HCVCauseCancer,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HHADULTS_NUM,False,no_outcome_codes,,
HHID,False,design_variable,,
HHInc,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HadTest3_Ancestry2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_Cat,False,derived_variable,,collapsed or recoded from source items
HadTest3_NotHad,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_NotSure,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_Other,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_Other_OS,False,open_text_field,,
HadTest3_PersonalTrait,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_Prenatal,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HadTest3_SpecificDisease,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HarmHealth_IndoorAir,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HarmHealth_OutdoorAir,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HealthInsurance2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HealthLimits_Blind,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HealthLimits_Deaf,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HealthLimits_Mobility,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HealthLimits_Pain,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HealthRecsChange,True,,universal,Outcome code found: Multiple responses selected in error...
HealthRecsConflict,True,,universal,Outcome code found: Multiple responses selected in error...
HeardChemoBrain,True,,universal,Outcome code found: Missing data (Not Ascertained)...
HeardMultiCaTest,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Height_Feet,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Height_Inches,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HelpUncertainty,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Hisp_Cat,False,derived_variable,,collapsed or recoded from source items
Hopeless,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
HowAccessOnlineRecord2,True,,universal,Outcome code found: Question answered in error (Commission Error)...
HowLongModerateExerciseMinutes,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ISEE_Scale,True,,universal,Outcome code found: Missing data (Not Ascertained)...
IncomeFeelings,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
IncomeRanges,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
IncomeRanges_IMP,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
InternetConnection,True,,universal,Outcome code found: Multiple responses selected in error...
Internet_Cell2,True,,universal,Outcome code found: Question answered in error (Commission Error)...
Internet_HighSpeed2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
InvolvedDecisions,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Japanese,True,,universal,Outcome code found: Missing data (Not Ascertained)...
KnowledgePalliativeCare,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Korean,True,,universal,Outcome code found: Missing data (Not Ascertained)...
LabShare2_Cat,False,derived_variable,,collapsed or recoded from source items
LabShare2_ForProfitCo2,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_HCP,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_HealthIns,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_LEAgencies,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_NotShared,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_NotSure,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_OthIns,True,,universal,Outcome code found: Missing data (Filter Missing)...
LabShare2_ScientificRes,True,,universal,Outcome code found: Missing data (Filter Missing)...
LackTransportation2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Language_Flag,False,no_outcome_codes,,
LittleInterest,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
LookResultsBeforeHCP,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
MailHHAdults,True,,universal,Outcome code found: Question answered in error (Commission Error)...
ManageMultipleProviders,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
MarijuanaUseEffect,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
MarijuanaUseReason,True,,universal,Outcome code found: Missing data (Filter Missing)...
MarijuanaUse_Cat,False,derived_variable,,collapsed or recoded from source items
Marijuana_Dabbing,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_Drinking,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_Eating,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_Lotion,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_NotUsed,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_Smoking,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Marijuana_Vaping,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MaritalStatus,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
MedConditions_Depression,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MedConditions_Diabetes,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MedConditions_HeartCondition,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MedConditions_HighBP,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MedConditions_LungDisease,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Mexican,True,,universal,Outcome code found: Missing data (Not Ascertained)...
MisleadingHealthInfo,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
NCHSURCODE2013,False,no_outcome_codes,,
NOTEL0,False,no_outcome_codes,,
NOTEL1,False,no_outcome_codes,,
NOTEL2,False,no_outcome_codes,,
NOTEL3,False,no_outcome_codes,,
NOTEL4,False,no_outcome_codes,,
NRTHelpQuit_Cat,False,derived_variable,,collapsed or recoded from source items
NRTHelpQuit_DK,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NRTHelpQuit_ENDS,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NRTHelpQuit_HeatTob,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NRTHelpQuit_ModRisk,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NRTHelpQuit_NicPouch,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NRTHelpQuit_None,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NR_FUFLG,False,no_outcome_codes,,
Nervous,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
NoTelehealth,True,,universal,Outcome code found: Missing data (Filter Missing)...
NoTelehealth_OS,False,open_text_field,,
NotHisp,True,,universal,Outcome code found: Missing data (Not Ascertained)...
NowUse_Cat,False,derived_variable,,collapsed or recoded from source items
NowUse_Cigars,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_ECig,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_HeatTob,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_Hookah,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_ModRisk,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_NicPouch,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_None,True,,universal,Outcome code found: Missing data (Filter Missing)...
NowUse_Smokeless,True,,universal,Outcome code found: Missing data (Filter Missing)...
OCCUP0,False,no_outcome_codes,,
OCCUP1,False,no_outcome_codes,,
OCCUP2,False,no_outcome_codes,,
OCCUP3,False,no_outcome_codes,,
OCCUP4,False,no_outcome_codes,,
Occupation2_Cat,False,derived_variable,,collapsed or recoded from source items
Occupation2_Disabled,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_Employed,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_Homemaker,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_OOW1Y,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_OOWLess1Y,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_Other,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_Other_OS,False,open_text_field,,
Occupation2_Retired,True,,universal,Outcome code found: Missing data (Not Ascertained)...
Occupation2_Student,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OfferedAccessHCP3,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
OfferedAccessInsurer3,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
OnlinePortal_Cat,False,derived_variable,,collapsed or recoded from source items
OnlinePortal_Hospital,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_Insurer,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_Lab,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_NoRec,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_OthHCP,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_PCP,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OnlinePortal_Pharmacy,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OptionResultsBeforeHCP,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
OthAsian,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OthHisp,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OthPacIsl,True,,universal,Outcome code found: Missing data (Not Ascertained)...
OwnAbilityTakeCareHealth,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PCCScale,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PCStopTreatments2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PERSON_FINWT0,False,design_variable,,
PERSON_FINWT1,False,design_variable,,
PERSON_FINWT10,False,design_variable,,
PERSON_FINWT11,False,design_variable,,
PERSON_FINWT12,False,design_variable,,
PERSON_FINWT13,False,design_variable,,
PERSON_FINWT14,False,design_variable,,
PERSON_FINWT15,False,design_variable,,
PERSON_FINWT16,False,design_variable,,
PERSON_FINWT17,False,design_variable,,
PERSON_FINWT18,False,design_variable,,
PERSON_FINWT19,False,design_variable,,
PERSON_FINWT2,False,design_variable,,
PERSON_FINWT20,False,design_variable,,
PERSON_FINWT21,False,design_variable,,
PERSON_FINWT22,False,design_variable,,
PERSON_FINWT23,False,design_variable,,
PERSON_FINWT24,False,design_variable,,
PERSON_FINWT25,False,design_variable,,
PERSON_FINWT26,False,design_variable,,
PERSON_FINWT27,False,design_variable,,
PERSON_FINWT28,False,design_variable,,
PERSON_FINWT29,False,design_variable,,
PERSON_FINWT3,False,design_variable,,
PERSON_FINWT30,False,design_variable,,
PERSON_FINWT31,False,design_variable,,
PERSON_FINWT32,False,design_variable,,
PERSON_FINWT33,False,design_variable,,
PERSON_FINWT34,False,design_variable,,
PERSON_FINWT35,False,design_variable,,
PERSON_FINWT36,False,design_variable,,
PERSON_FINWT37,False,design_variable,,
PERSON_FINWT38,False,design_variable,,
PERSON_FINWT39,False,design_variable,,
PERSON_FINWT4,False,design_variable,,
PERSON_FINWT40,False,design_variable,,
PERSON_FINWT41,False,design_variable,,
PERSON_FINWT42,False,design_variable,,
PERSON_FINWT43,False,design_variable,,
PERSON_FINWT44,False,design_variable,,
PERSON_FINWT45,False,design_variable,,
PERSON_FINWT46,False,design_variable,,
PERSON_FINWT47,False,design_variable,,
PERSON_FINWT48,False,design_variable,,
PERSON_FINWT49,False,design_variable,,
PERSON_FINWT5,False,design_variable,,
PERSON_FINWT50,False,design_variable,,
PERSON_FINWT6,False,design_variable,,
PERSON_FINWT7,False,design_variable,,
PERSON_FINWT8,False,design_variable,,
PERSON_FINWT9,False,design_variable,,
PROMIS_Isolation_t,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PR_RUCA_2010,False,no_outcome_codes,,
PoliticalViewpoint,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PrefCervCaTest,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PreparedMeal_CalInfo,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PreventNotPossible,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ProbCare_RedoTest,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
ProbCare_WaitLong2,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
PuertoRican,True,,universal,Outcome code found: Missing data (Not Ascertained)...
QualityCare,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
REASO0,False,no_outcome_codes,,
REASO1,False,no_outcome_codes,,
REASO2,False,no_outcome_codes,,
REASO3,False,no_outcome_codes,,
REASO4,False,no_outcome_codes,,
RECEN0,False,no_outcome_codes,,
RECEN1,False,no_outcome_codes,,
RECEN2,False,no_outcome_codes,,
RECEN3,False,no_outcome_codes,,
RECEN4,False,no_outcome_codes,,
RUC2003,False,no_outcome_codes,,
RUC2013,False,no_outcome_codes,,
RUC2023,False,no_outcome_codes,,
R_HHADULTS,True,,universal,Outcome code found: Missing data (Not Ascertained)...
RaceEthn,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
RaceEthn5,True,,conditional_on:mode_web,Outcome code found: Missing data (Web partial - Question Never Seen)...
Race_Cat2,True,,universal,Outcome code found: Missing data (Not Ascertained)...
ReasonTest_Cat,False,derived_variable,,collapsed or recoded from source items
ReasonTest_DiseaseRisk,True,,universal,Outcome code found: Missing data (Filter Missing)...
ReasonTest_DocRec,True,,universal,Outcome code found: Missing data (Filter Missing)...
ReasonTest_FindFam,True,,universal,Outcome code found: Missing data (Filter Missing)...
