diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
410,RSP016,OTHER SPECIFIED AND UNSPECIFIED LOWER RESPIRATORY DISEASE
411,RSP017,POSTPROCEDURAL OR POSTOPERATIVE RESPIRATORY SYSTEM COMPLICATION
412,SKN001,SKIN AND SUBCUTANEOUS TISSUE INFECTIONS
413,SKN002,OTHER SPECIFIED INFLAMMATORY CONDITION OF SKIN
414,SKN003,PRESSURE ULCER OF SKIN
415,SKN004,NON-PRESSURE ULCER OF SKIN
416,SKN005,CONTACT DERMATITIS
417,SKN006,POSTPROCEDURAL OR POSTOPERATIVE SKIN COMPLICATION
418,SKN007,OTHER SPECIFIED AND UNSPECIFIED SKIN DISORDERS
419,SYM001,SYNCOPE
420,SYM002,FEVER
421,SYM003,SHOCK
422,SYM004,NAUSEA AND VOMITING
423,SYM005,DYSPHAGIA
424,SYM006,ABDOMINAL PAIN AND OTHER DIGESTIVE/ABDOMEN SIGNS AND SYMPTOMS
425,SYM007,MALAISE AND FATIGUE
426,SYM008,SYMPTOMS OF MENTAL AND SUBSTANCE USE CONDITIONS
427,SYM010,NERVOUS SYSTEM SIGNS AND SYMPTOMS
428,SYM011,GENITOURINARY SIGNS AND SYMPTOMS
429,SYM012,CIRCULATORY SIGNS AND SYMPTOMS
430,SYM013,RESPIRATORY SIGNS AND SYMPTOMS
431,SYM014,SKIN/SUBCUTANEOUS SIGNS AND SYMPTOMS
432,SYM015,GENERAL SENSATION/PERCEPTION SIGNS AND SYMPTOMS
433,SYM016,OTHER GENERAL SIGNS AND SYMPTOMS
434,SYM017,ABNORMAL FINDINGS WITHOUT DIAGNOSIS
435,XXX000,UNACCEPTABLE PDX
