diagnosis_key,ccsr_diagnosis_code,ccsr_diagnosis_description
101,FAC003,"ENCOUNTER FOR OBSERVATION AND EXAMINATION FOR CONDITIONS RULED OUT (EXCLUDES INFECTIOUS DISEASE, NEOPLASM, MENTAL DISORDERS)"
102,FAC004,ENCOUNTER FOR PROPHYLACTIC OR OTHER PROCEDURES
103,FAC006,ENCOUNTER FOR ANTINEOPLASTIC THERAPIES
104,FAC008,NEOPLASM-RELATED ENCOUNTERS
105,FAC009,"IMPLANT, DEVICE OR GRAFT RELATED ENCOUNTER"
106,FAC010,OTHER AFTERCARE ENCOUNTER
107,FAC014,MEDICAL EXAMINATION/EVALUATION
108,FAC016,"EXPOSURE, ENCOUNTERS, SCREENING OR CONTACT WITH INFECTIOUS DISEASE"
109,FAC025,OTHER SPECIFIED STATUS
110,GEN001,NEPHRITIS; NEPHROSIS; RENAL SCLEROSIS
111,GEN002,ACUTE AND UNSPECIFIED RENAL FAILURE
112,GEN003,CHRONIC KIDNEY DISEASE
113,GEN004,URINARY TRACT INFECTIONS
114,GEN005,CALCULUS OF URINARY TRACT
115,GEN006,OTHER SPECIFIED AND UNSPECIFIED DISEASES OF KIDNEY AND URETERS
116,GEN007,OTHER SPECIFIED AND UNSPECIFIED DISEASES OF BLADDER AND URETHRA
117,GEN008,URINARY INCONTINENCE
118,GEN009,HEMATURIA
119,GEN011,VESICOURETERAL REFLUX
120,GEN012,HYPERPLASIA OF PROSTATE
121,GEN013,INFLAMMATORY CONDITIONS OF MALE GENITAL ORGANS
122,GEN014,ERECTILE DYSFUNCTION
123,GEN016,OTHER SPECIFIED MALE GENITAL DISORDERS
124,GEN017,NONMALIGNANT BREAST CONDITIONS
125,GEN018,INFLAMMATORY DISEASES OF FEMALE PELVIC ORGANS
126,GEN019,ENDOMETRIOSIS
127,GEN020,PROLAPSE OF FEMALE GENITAL ORGANS
128,GEN021,MENSTRUAL DISORDERS
129,GEN022,BENIGN OVARIAN CYST
130,GEN023,MENOPAUSAL DISORDERS
131,GEN025,OTHER SPECIFIED FEMALE GENITAL DISORDERS
132,GEN026,POSTPROCEDURAL OR POSTOPERATIVE GENITOURINARY SYSTEM COMPLICATION
133,INF001,TUBERCULOSIS
134,INF002,SEPTICEMIA
135,INF003,BACTERIAL INFECTIONS
136,INF004,FUNGAL INFECTIONS
137,INF005,FOODBORNE INTOXICATIONS
138,INF006,HIV INFECTION
139,INF007,HEPATITIS
140,INF008,VIRAL INFECTION
141,INF009,"PARASITIC, OTHER SPECIFIED AND UNSPECIFIED INFECTIONS"
142,INF010,SEXUALLY TRANSMITTED INFECTIONS (EXCLUDING HIV AND HEPATITIS)
143,INF012,CORONAVIRUS DISEASE 2019 (COVID-19)
144,INJ001,"FRACTURE OF HEAD AND NECK, INITIAL ENCOUNTER"
145,INJ002,"FRACTURE OF THE SPINE AND BACK, INITIAL ENCOUNTER"
146,INJ003,"FRACTURE OF TORSO, INITIAL ENCOUNTER"
147,INJ004,"FRACTURE OF THE UPPER LIMB, INITIAL ENCOUNTER"
148,INJ005,"FRACTURE OF THE LOWER LIMB (EXCEPT HIP), INITIAL ENCOUNTER"
149,INJ006,"FRACTURE OF THE NECK OF THE FEMUR (HIP), INITIAL ENCOUNTER"
150,INJ007,"DISLOCATIONS, INITIAL ENCOUNTER"
