hypothesis_id,hypothesis,n_treatment,n_control,rate_treatment_pct,ci_treatment_pct,rate_control_pct,ci_control_pct,difference_pp,ci_difference_pp,ci_low_pp,ci_high_pp,relative_difference_pct,z,p_uncorrected,mde_empirical_pp,mde_grid_formula_pp,measured_deff,verdict,verdict_class
H1,H1 item nonresponse,1513,5765,1.2229854412698966,"[1.040, 1.406]",1.435872785425429,"[1.306, 1.566]",-0.21288734415553234,"[-0.437, 0.012]",-0.4374662954074162,0.011691607096351534,-14.826337424624757,-1.85796216528259,0.06317438732143646,0.32100870924826064,1.203052787804034,1.5615397236271376,"DISCONFIRMING (rates within 1 pp, or CI spans both directions) -> NULL; INFORMATIVE NULL (observed effect < MDE, MDE < 3 pp)",INFORMATIVE_NULL
H2,H2 break-off (web only),1061,3800,6.938338811988115,"[4.139, 9.737]",5.123385771727274,"[4.080, 6.167]",1.814953040260841,"[-1.172, 4.802]",-1.17235404557742,4.802260126099102,35.424875680383444,1.1908075924886177,0.23372912759877917,4.269997639616633,3.669628587064618,2.927478199951237,H2 break-off: NULL (CI includes 0); observed effect (1.815 pp) < MDE (4.270 pp): experiment could not have detected it,UNDERPOWERED_NULL
H3,H3 response error,1513,5765,0.343687284707821,"[0.268, 0.420]",0.36481221207552145,"[0.332, 0.398]",-0.02112492736770044,"[-0.104, 0.062]",-0.10396155704918199,0.06171170231378111,-5.7906305404401515,-0.4998375452972959,0.6171894714333517,0.11840503940506973,0.5856191500533445,1.4406780591542145,H3 response error: NULL (CI includes 0); observed effect (0.021 pp) < MDE (0.118 pp): experiment could not have detected it,UNDERPOWERED_NULL
