covariate,levels,chi2,dof,p_value,max_arm_share_gap_pp,overrepresented_level,treatment_share_pct,control_share_pct,flag
Age group (AgeGrpB),6,9.484326806123626,5,0.09123680821043045,2.689131315817983,35-49,20.62128222075347,18.091934084995664,balanced
Sex at birth (BirthSex),4,2.3705960827294152,3,0.4991316214788748,0.7757113974350083,(missing/not ascertained),8.460013218770653,7.684301821335645,balanced
Race/ethnicity (RaceEthn5),6,9.042679936834732,5,0.10737386051208346,1.982999032954638,Non-Hispanic Black or African American,14.871116986120292,12.888117953165654,balanced
Education (EducA),5,2.8412553061389936,4,0.5847325090800035,1.627766067885783,High School Graduate,16.192994051553207,15.195143104943625,balanced
Income (IncomeRanges),10,5.736775441451135,9,0.765946424451397,0.9431988393162699,"$0 to $9,999",7.534699272967614,6.591500433651344,balanced
Marital status (MaritalStatus),8,4.314308974718665,7,0.7429466092497696,1.782516255476535,Living as married or living with a romantic partner,5.750165234633179,5.047701647875109,balanced
Survey mode (FormType),2,9.579230532503686,1,0.0019679086547406835,4.210573984702693,"HINTS7, standard version - web",70.12557832121612,65.91500433651343,IMBALANCED (p<0.01)
Design stratum (STRATUM),4,2.745539852791998,3,0.4325436649828688,1.0355697284419678,High minority urban area,64.90416391275612,63.989592367736336,balanced
