hypothesis_id,fraction,n,diff_pp,z,p_value
H1,0.05,364,-0.02962437766586192,-0.07766975659378399,0.9380907521504678
H1,0.1,728,0.17380539852758675,0.5646252922534549,0.5723286583298033
H1,0.15,1092,0.122567371800132,0.4795560868190852,0.6315430778049704
H1,0.2,1456,0.1024549582793648,0.40229502938133477,0.6874669123354267
H1,0.25,1820,0.12534399714192682,0.566273661152098,0.5712077624394132
H1,0.3,2183,0.09853441647766047,0.48954767382571707,0.6244540114893344
H1,0.35,2547,0.016676273638437794,0.09016359719714807,0.9281572116937256
H1,0.39999999999999997,2911,-0.013688181107977988,-0.07433881682021232,0.9407407911067974
H1,0.44999999999999996,3275,-0.00012540713736734765,-0.0007533487658064842,0.9993989147077192
H1,0.49999999999999994,3639,-0.0334881995752493,-0.22181443103444545,0.8244583449467373
H1,0.5499999999999999,4003,0.02203595208973945,0.1476416323999727,0.8826255972269169
H1,0.6,4367,0.008293937890473634,0.05574689780711519,0.9555434385178638
H1,0.65,4731,-0.05209781421710007,-0.3565659546725224,0.7214167684860874
H1,0.7,5095,-0.06915717155154093,-0.47980661768475147,0.631364906820763
H1,0.75,5458,-0.11925389885841675,-0.8388924062118291,0.4015296894995104
H1,0.7999999999999999,5822,-0.15439954265636102,-1.1411022417480563,0.2538273785245466
H1,0.85,6186,-0.17423641414525992,-1.3752779866467482,0.16904527849279716
H1,0.9,6550,-0.19463370683040823,-1.5794746905285608,0.11422721732020488
H1,0.95,6914,-0.20175746793940647,-1.6668033461798497,0.0955535146689415
H1,1.0,7278,-0.21288734415553218,-1.8579621652825868,0.06317438732143692
